N;Endereço;Ebionita;Brit Hadasha Netzari;BJ;ACF;ARC;BRP;SBP;RCS;ARA;AKJ;TIS;NA28;PEH;PHA;PYP
802;Mat 23:26;Hipócrita! Limpa primeiro o que está dentro, para que o que está por fora seja puro.;Parush cego! limpa primeiro o interior do copo, para que também o exterior se torne limpo.;Fariseu cego, limpa primeiro o interior do copo para que também o exterior fique limpo! ; Fariseu cego! limpa primeiro o interior do copo e do prato, para que também o exterior fique limpo.; Fariseu cego! Limpa primeiro o interior do copo e do prato, para que também o exterior fique limpo.; Fariseu cego! limpa primeiro o interior do copo e do prato, para que também o exterior fique limpo.; Fariseu cego! Limpa primeiro a parte de dentro do copo, para que a de fora também possa ficar limpa.;Fariseu cego! Limpa primeiro a parte de dentro do copo, para que a de fora também possa ficar limpa.; Fariseu cego, limpa primeiro o interior do copo, para que também o seu exterior fique limpo!; Fariseu que não enxerga! Limpa, antes de tudo, o interior do copo e do prato, para que da mesma forma, o exterior fique limpo!; Φαρισαῖε τυφλέ, καθάρισον πρῶτον τὸ ἐντὸς τοῦ ποτηρίου, ἵνα γένηται καὶ τὸ ἐκτὸς αὐτοῦ καθαρόν.; Φαρισαῖε τυφλέ, καθάρισον πρῶτον τὸ ἐντὸς τοῦ ποτηρίου, ἵνα γένηται καὶ τὸ ἐκτὸς αὐτοῦ καθαρόν.;פרישׁא עוירא דכו לוקדם גוה דכסא ודזבורא דהוא אף ברהון דכא;פּרִישֵׁא֞ עוִירֵא֖֞ דַּכַּו לֻוקדַ̅ם גַּוֵה דּכָ̅סָא וַד̅זָבֻ̅ורָא֑ דַּהוָא אָף̅ בַּרהֻון דּכֵ̅א ס ;  0kd  Jwhrb  P0  0whd  0rwbzdw  0skd  hwg  Mdqwl  wkd  0ryw9  04yrp  
803;Mat 23:27;Ai de vós sábios e fariseus hipócritas! Que são como sepulcros branqueados que por fora parecem formosos aos homens, mas por dentro estão cheios de ossos de mortos e de sujeira.;Ai de vós, professores da Torah e P'rushim, hipócritas! porque sois semelhantes aos sepulcros caiados, que por fora realmente parecem formosos, mas por dentro estão cheios de ossos e de toda imundícia.;Ai de vós, escribas e fariseus, hipócritas! Sois semelhantes a sepulcros caiados, que por fora parecem bonitos, mas por dentro estão cheios de ossos de mortos e de toda podridão. ; Ai de vós, escribas e fariseus, hipócritas! pois que sois semelhantes aos sepulcros caiados, que por fora realmente parecem formosos, mas interiormente estão cheios de ossos de mortos e de toda a imundícia.; Ai de vós, escribas e fariseus, hipócritas! Pois que sois semelhantes aos sepulcros caiados, que por fora realmente parecem formosos, mas interiormente estão cheios de ossos de mortos e de toda imundícia.; Ai de vós, escribas e fariseus, hipócritas! pois que sois semelhantes aos sepulcros caiados, que por fora realmente parecem formosos, mas interiormente estäo cheios de ossos de mortos e de toda a imundícia.; Ai de vós, doutores da lei e fariseus fingidos! Säo semelhantes a túmulos caiados. Por fora parecem muito bonitos, mas por dentro estäo cheios de ossos de mortos e de toda a espécie de podridäo. ;Ai de vós, doutores da lei e fariseus fingidos! São semelhantes a túmulos caiados . Por fora parecem muito bonitos, mas por dentro estão cheios de ossos de mortos e de toda a espécie de podridão. ; Ai de vós, escribas e fariseus, hipócritas, porque sois semelhantes aos sepulcros caiados, que, por fora, se mostram belos, mas interiormente estão cheios de ossos de mortos e de toda imundícia!; Ai de vós, doutores da Lei e fariseus, hipócritas! Porque sois parecidos aos túmulos caiados: com bela aparência por fora, mas por dentro estão cheios de ossos de mortos e toda espécie de imundície!; οὐαὶ ὑμῖν, γραμματεῖς καὶ Φαρισαῖοι ὑποκριταί, ὅτι παρομοιάζετε τάφοις κεκονιαμένοις, οἵτινες ἔξωθεν μὲν φαίνονται ὡραῖοι ἔσωθεν δὲ γέμουσιν ὀστέων νεκρῶν καὶ πάσης ἀκαθαρσίας.; Οὐαὶ ὑμῖν, γραμματεῖς καὶ Φαρισαῖοι ὑποκριταί, ὅτι παρομοιάζετε τάφοις κεκονιαμένοις, οἵτινες ἔξωθεν μὲν φαίνονται ὡραῖοι, ἔσωθεν δὲ γέμουσιν ὀστέων νεκρῶν καὶ πάσης ἀκαθαρσίας.;וי לכון ספרא ופרישׁא נסבי באפא דדמין אנתון לקברא מכלשׁא דמן לבר מתחזין שׁפירא מן לגו דין מלין גרמא דמיתא וכלה טנפותא;וָי֖ לכֻ̅ו֖ן סָפ̅רֵא֞ וַפ̅רִישֵׁא֖֞ נָסבַּי֞ בַּאפֵּא֑֞ דּדָ̅מֵין אנ֗תֻּון לקַב̅רֵא֞ מַכ̅לשֵׁא֖֞ דּמֵן לבַ̅ר מֵת̅חזֵין שַׁפִּירֵא֑֞ מֵן לגַ̅ו דֵּין מלֵין גַּרמֵא֞ דּמִיתֵ̅א֖֞ וכֻ̅לָה טַנפֻ̅ותָ̅א֖ ;  Fwpn=  hlkw  Fymd  0mrg  Nylm  Nyd  wgl  Nm  0ryp4    Nyzxtm  rbl  Nmd  04lkm  0rbql  Jwtn0  Nymdd  0p0b  Ybsn  04yrpw  0rps  Jwkl  Yw  
804;Mat 23:28;Assim vocês parecem por fora serem justos aos homens, porém dentro de vocês está cheio de hipocrisia e de iniquidade.;Assim também vós exteriormente pareceis justos aos homens, mas por dentro estais cheios de hipocrisia e de iniquidade.;Assim também vós: por fora pareceis justos aos homens, mas por dentro estais cheios de hipocrisia e de iniqüidade. ; Assim também vós exteriormente pareceis justos aos homens, mas interiormente estais cheios de hipocrisia e de iniqüidade.; Assim, também vós exteriormente pareceis justos aos homens, mas interiormente estais cheios de hipocrisia e de iniqüidade.; Assim também vós exteriormente pareceis justos aos homens, mas interiormente estais cheios de hipocrisia e de iniqüidade.; Assim säo vocês: por fora parecem muito boas pessoas aos olhos dos outros, mas lá por dentro estäo cheios de fingimento e maldade.;Assim são vocês: por fora parecem muito boas pessoas aos olhos dos outros, mas lá por dentro estão cheios de fingimento e maldade.; Assim também vós exteriormente pareceis justos aos homens, mas, por dentro, estais cheios de hipocrisia e de iniqüidade.; Assim também sois vós: exteriormente pareceis justos ao povo, mas vosso interior está repleto de falsidade e perversidade.; οὕτως καὶ ὑμεῖς ἔξωθεν μὲν φαίνεσθε τοῖς ἀνθρώποις δίκαιοι, ἔσωθεν δέ ἐστε μεστοὶ ὑποκρίσεως καὶ ἀνομίας.; οὕτως καὶ ὑμεῖς ἔξωθεν μὲν φαίνεσθε τοῖς ἀνθρώποις δίκαιοι, ἔσωθεν δέ ἐστε μεστοὶ ὑποκρίσεως καὶ ἀνομίας.;הכנא אף אנתון מן לבר מתחזין אנתון לבני אנשׁא איך זדיקא ומן לגו מלין אנתון עולא ומסב באפא;הָכַ̅נָא אָף̅ אַנ֗תֻּו֖ן מֵן לבַ̅ר מֵת̅חזֵין אנ֗תֻּון לַב̅נַי֞ א֗נָשָׁא֞ אַיך̅ זַדִּיקֵא֑֞ ומֵן לגַ̅ו מלֵין אנ֗תֻּון עַולָא֖ ומַסַב̅ בַּאפֵּא֞ ס ;  0p0b  Bsmw  fw9  Jwtn0    Nylm  wgl  Nmw  0qydz  Ky0  04n0  Ynbl  Jwtn0  Nyzxtm  rbl  Nm  Jwtn0  P0  0nkh  
805;Mat 23:29;Ai de vós hipócritas, fariseus, e sábios porque edificam as tumbas dos profetas e glorificam os monumentos dos justos,;Ai de vós, professores da Torah e P'rushim, hipócritas! porque edificais os sepulcros dos profetas e adornais os monumentos dos justos,;Ai de vós, escribas e fariseus, hipócritas, que edificais os túmulos dos profetas e enfeitais os sepulcros dos justos ; Ai de vós, escribas e fariseus, hipócritas! pois que edificais os sepulcros dos profetas e adornais os monumentos dos justos,; Ai de vós, escribas e fariseus, hipócritas! Pois que edificais os sepulcros dos profetas e adornais os monumentos dos justos; Ai de vós, escribas e fariseus, hipócritas! pois que edificais os sepulcros dos profetas e adornais os monumentos dos justos,; Ai de vós, doutores da lei e fariseus fingidos! Constroem os túmulos dos profetas e fazem belos monumentos aos mártires,;Ai de vós, doutores da lei e fariseus fingidos! Constroem os túmulos dos profetas e fazem belos monumentos aos mártires,; Ai de vós, escribas e fariseus, hipócritas, porque edificais os sepulcros dos profetas, adornais os túmulos dos justos; Ai de vós, doutores da Lei e fariseus, hipócritas! Porque construís os sepulcros dos profetas, adornais os túmulos dos justos.; οὐαὶ ὑμῖν, γραμματεῖς καὶ Φαρισαῖοι ὑποκριταί, ὅτι οἰκοδομεῖτε τοὺς τάφους τῶν προφητῶν καὶ κοσμεῖτε τὰ μνημεῖα τῶν δικαίων,; Οὐαὶ ὑμῖν, γραμματεῖς καὶ Φαρισαῖοι ὑποκριταί, ὅτι οἰκοδομεῖτε τοὺς τάφους τῶν προφητῶν καὶ κοσμεῖτε τὰ μνημεῖα τῶν δικαίων,;וי לכון ספרא ופרישׁא נסבי באפא דבנין אנתון קברא דנביא ומצבתין אנתון בית קבורא דזדיקא;וָי֖ לכֻ̅ו֖ן סָפ̅רֵא֞ וַפ̅רִישֵׁא֖֞ נָסבַּי֞ בַּאפֵּא֑֞ דּבָ̅נֵין אנ֗תֻּון קַב̅רֵא֞ דַּנבִ̅יֵא֑֞ וַמצַבּתִ̅ין אנ֗תֻּון בֵּית̅־קבֻ̅ורֵא֞ דּזַדִּיקֵא֖֞ ;  0qydzd  0rwbq    tyb  Jwtn0  Nytbcmw  0ybnd  0rbq  Jwtn0  Nynbd  0p0b  Ybsn  04yrpw  0rps  Jwkl  Yw  
806;Mat 23:30;E vós dizeis: Se tivéssemos vivido nos dias de nossos pais, não haveríamos permitido dar morte aos profetas.;e dizeis: Se tivéssemos vivido nos dias de nossos pais, não teríamos sido cúmplices no derramar o sangue dos profetas.;e dizeis: 'Se estivéssemos vivos nos dias dos nossos pais, não teríamos sido cúmplices seus no derramar o sangue dos profetas'. ; E dizeis: Se existíssemos no tempo de nossos pais, nunca nos associaríamos com eles para derramar o sangue dos profetas.; e dizeis: Se existíssemos no tempo de nossos pais, nunca nos associaríamos com eles para derramar o sangue dos profetas.; E dizeis: Se existíssemos no tempo de nossos pais, nunca nos associaríamos com eles para derramar o sangue dos profetas.;" e declaram: ""Se tivéssemos vivido nos tempos dos nossos antepassados, näo nos teríamos juntado a eles para matar os profetas!""";e declaram: “Se tivéssemos vivido nos tempos dos nossos antepassados, não nos teríamos juntado a eles para matar os profetas!”; e dizeis: Se tivéssemos vivido nos dias de nossos pais, não teríamos sido seus cúmplices no sangue dos profetas!; E declarais: ‘Se tivéssemos vivido na época dos nossos antepassados, não teríamos tomado parte com eles no assassinato dos profetas!’; καὶ λέγετε· εἰ ἤμεθα ἐν ταῖς ἡμέραις τῶν πατέρων ἡμῶν, οὐκ ἂν ἤμεθα κοινωνοὶ αὐτῶν ἐν τῷ αἵματι τῶν προφητῶν.; καὶ λέγετε· εἰ ἤμεθα ἐν ταῖς ἡμέραις τῶν πατέρων ἡμῶν, οὐκ ἂν ἤμεθα αὐτῶν κοινωνοὶ ἐν τῷ αἵματι τῶν προφητῶν.;ואמרין אנתון דאלו הוין ביומי אבהין לא הוין הוין להון שׁותפא בדמא דנביא;וָאמרִין אנ֗תֻּו֖ן דֵּאלֻו הוַין בּיַומַי֞ אַבָ̅הַין֑֞ לָא הָוֵין ה֗וַין להֻון שַׁותָּפֵ̅א֞ בַּד̅מָא דַּנבִ̅יֵא֖֞ ;  0ybnd    0mdb  0ptw4  Jwhl  Nywh  Nywh  f  Nyhb0  Ymwyb  Nywh  wl0d  Jwtn0  Nyrm0w  
807;Mat 23:31;Isto é, são vocês que dão testemunhos contra si mesmos, de que são filhos daqueles que mataram os profetas.;Assim, vós testemunhais contra vós mesmos que sois filhos daqueles que mataram os profetas.;Com isso testificais, contra vós, que sois filhos daqueles que mataram os profetas. ; Assim, vós mesmos testificais que sois filhos dos que mataram os profetas.; Assim, vós mesmos testificais que sois filhos dos que mataram os profetas.; Assim, vós mesmos testificais que sois filhos dos que mataram os profetas.; Desse modo confessam que säo descendentes daqueles que assassinaram os profetas.;Desse modo confessam que são descendentes daqueles que assassinaram os profetas.; Assim, contra vós mesmos, testificais que sois filhos dos que mataram os profetas.; Dessa forma, porém, testemunhais contra vós mesmos que sois filhos dos que mataram os profetas.; ὥστε μαρτυρεῖτε ἑαυτοῖς ὅτι υἱοί ἐστε τῶν φονευσάντων τοὺς προφήτας.; ὥστε μαρτυρεῖτε ἑαυτοῖς ὅτι υἱοί ἐστε τῶν φονευσάντων τοὺς προφήτας.;מדין מסהדין אנתון על נפשׁכון דבניא אנתון דהנון דקטלו לנביא;מָדֵ̅ין מַסהדִ̅ין אנ֗תֻּון עַל נַפ̅שׁכֻ̅ון֑ דַּב̅נַיָא֞ אַנ֗תֻּון דּהָנֻון דּקַטֵלו לַנבִ̅יֵא֞ ס ;  0ybnl  wl=qd  Jwnhd  Jwtn0  0ynbd  Jwk4pn  L9  Jwtn0  Nydhsm  Nydm  
808;Mat 23:32;Vocês se comportam segundo as obras de vossos pais.;Enchei vós, pois, a medida de vossos pais [isto é: Terminem o que os seus ancestrais começaram].;Completai, pois, a medida dos vossos pais! ; Enchei vós, pois, a medida de vossos pais.; Enchei vós, pois, a medida de vossos pais.; Enchei vós, pois, a medida de vossos pais.; Acabem entäo o que os vossos antepassados começaram!;Acabem então o que os vossos antepassados começaram!; Enchei vós, pois, a medida de vossos pais.; Acabai, pois, de encher a medida do pecado de vossos pais!; καὶ ὑμεῖς πληρώσατε τὸ μέτρον τῶν πατέρων ὑμῶν.; καὶ ὑμεῖς πληρώσατε τὸ μέτρον τῶν πατέρων ὑμῶν.;ואף אנתון מלו משׁוחתא דאבהיכון;וָאף̅ אַנ֗תֻּו֖ן מַלַו משֻׁוחתָ̅א דַּאבָ̅הַיכֻּון֖֞ ;  Jwkyhb0d  Fxw4m  wlm  Jwtn0  P0w  
809;Mat 23:33;Serpentes, semente de víboras! Como escaparão do juízo do Guehenon se não se envolverem em arrependimento?;Serpentes, raça de víboras! como escapareis da condenação do gehinom?;Serpentes! Raça de víboras! Como haveis de escapar ao julgamento da geena? ; Serpentes, raça de víboras! como escapareis da condenação do inferno?; Serpentes, raça de víboras! Como escapareis da condenação do inferno?; Serpentes, raça de víboras! como escapareis da condenaçäo do inferno?; Serpentes! Raça de víboras! Como é que häo-de escapar à condenaçäo do inferno?;Serpentes! Raça de víboras! Como é que hão de escapar à condenação do inferno?; Serpentes, raça de víboras! Como escapareis da condenação do inferno?; Cobras venenosas, ninho de víboras! Como escapareis da condenação do inferno?;" ὄφεις, γεννήματα ἐχιδνῶν, πῶς φύγητε ἀπὸ τῆς κρίσεως τῆς γεέννης;";" ὄφεις, γεννήματα ἐχιδνῶν, πῶς φύγητε ἀπὸ τῆς κρίσεως τῆς γεέννης;";חוותא ילדא דאכדנא איכנא תערקון מן דינא דגהנא;חוַוָתָ̅א֖֞ יַלדָּא דָּאכֵ̅ד̅נֵא֑֞ אַיכַּנָא תֵּערקֻון מֵן דִּינָא דּגִ̅הַנָא סּ סּ ;  0nhgd  0nyd  Nm  Jwqr9t  0nky0  0ndk0d  0dly  Fwwx  
810;Mat 23:34;E naquele tempo Yeshua disse as multidões de yahudim: Por isso lhes digo: Eis aqui estou lhes enviando profetas, sábios e escribasA alguns deles vocês os matarão, e a alguns deles os afligirão em suas sinagogas e os perseguirão de cidade em cidade.;"Portanto, eis que eu vos envio profetas, sábios e professores da Torah: e a uns deles matareis e executareis; e a outros os perseguireis de cidade em cidade;";Por isso vos envio profetas, sábios e escribas. A uns matareis e crucificareis, a outros açoitareis em vossas sinagogas e perseguireis de cidade em cidade. ;" Portanto, eis que eu vos envio profetas, sábios e escribas; a uns deles matareis e crucificareis; e a outros deles açoitareis nas vossas sinagogas e os perseguireis de cidade em cidade;";" Portanto, eis que eu vos envio profetas, sábios e escribas; e a uns deles matareis e crucificareis; e a outros deles açoitareis nas vossas sinagogas e os perseguireis de cidade em cidade,";" Portanto, eis que eu vos envio profetas, sábios e escribas; a uns deles matareis e crucificareis; e a outros deles açoitareis nas vossas sinagogas e os perseguireis de cidade em cidade;";" Por isso eu vos mandarei profetas, sábios e mestres; mas vocês häo-de matar alguns e crucificar outros, espancar alguns nas sinagogas, perseguindo-os de cidade em cidade.";"Por isso eu vos mandarei profetas, sábios e mestres; mas vocês hão de matar alguns e crucificar outros, espancar alguns nas sinagogas, perseguindo-os de cidade em cidade.";" Por isso, eis que eu vos envio profetas, sábios e escribas. A uns matareis e crucificareis; a outros açoitareis nas vossas sinagogas e perseguireis de cidade em cidade;";" Por isso, eis que Eu vos envio profetas, sábios e mestres. A uns assassinareis e crucificareis; a outros açoitareis nas vossas sinagogas e perseguireis de cidade em cidade."; διὰ τοῦτο ἰδοὺ ἐγὼ ἀποστέλλω πρὸς ὑμᾶς προφήτας καὶ σοφοὺς καὶ γραμματεῖς· ἐξ αὐτῶν ἀποκτενεῖτε καὶ σταυρώσετε, καὶ ἐξ αὐτῶν μαστιγώσετε ἐν ταῖς συναγωγαῖς ὑμῶν καὶ διώξετε ἀπὸ πόλεως εἰς πόλιν·; Διὰ τοῦτο ἰδοὺ ἐγὼ ἀποστέλλω πρὸς ὑμᾶς προφήτας καὶ σοφοὺς καὶ γραμματεῖς· ἐξ αὐτῶν ἀποκτενεῖτε καὶ σταυρώσετε καὶ ἐξ αὐτῶν μαστιγώσετε ἐν ταῖς συναγωγαῖς ὑμῶν καὶ διώξετε ἀπὸ πόλεως εἰς πόλιν·;מטל הנא הא אנא משׁדר אנא לותכון נביא וחכימא וספרא מנהון קטלין אנתון וזקפין אנתון ומנהון מנגדין אנתון בכנושׁתכון ותרדפון אנון מן מדינא למדינא;מֵטֻל הָנָא֖ הָא אֵנָא משַׁדַּר א֗נָא לוָת̅כֻ̅ון֑ נבִ̅יֵא֞ וחַכִּימֵא֖֞ וסָפ̅רֵא֖֞ מֵנהֻון קָטלִין אנ֗תֻּון וזָקפִּין אנ֗תֻּו֖ן ומֵנהֻון מנַגּדִ̅ין אנ֗תֻּון בַּכ̅נֻושָׁת̅כֻ̅ון֖֞ ותֵ̅רדּפֻ̅ון אֵנֻון מֵן מדִ̅ינָא לַמדִ̅ינָא֑ ;  0nydml    0nydm  Nm  Jwn0  Jwpdrtw  Jwkt4wnkb  Jwtn0  Nydgnm  Jwhnmw  Jwtn0  Nypqzw    Jwtn0  Nyl=q  Jwhnm  0rpsw  0mykxw  0ybn  Jwktwl  0n0  rd4m  0n0  0h  0nh  L=m  
811;Mat 23:35;Não consta na obra original.;para que sobre vós caia todo o sangue justo, que foi derramado sobre a terra, desde o sangue de Havel, o justo, até o sangue de Z'karyah Bar Y'hoyada, que mataste entre o santuário e o altar.;E assim cairá sobre vós todo o sangue dos justos derramado sobre a terra, desde o sangue do justo Abel até o sangue de Zacarias, filho de Baraquias, que matastes entre o santuário e o altar. ; Para que sobre vós caia todo o sangue justo, que foi derramado sobre a terra, desde o sangue de Abel, o justo, até ao sangue de Zacarias, filho de Baraquias, que matastes entre o santuário e o altar.; para que sobre vós caia todo o sangue justo, que foi derramado sobre a terra, desde o sangue de Abel, o justo, até ao sangue de Zacarias, filho de Baraquias, que matastes entre o santuário e o altar.; Para que sobre vós caia todo o sangue justo, que foi derramado sobre a terra, desde o sangue de Abel, o justo, até ao sangue de Zacarias, filho de Baraquias, que matastes entre o santuário e o altar.; Portanto, é sobre vocês que há-de cair o castigo pela morte de todos os inocentes, desde Abel, o justo, até Zacarias, filho de Baraquias, que vocês assassinaram entre o templo e o altar. ;Portanto, é sobre vocês que há de cair o castigo pela morte de todos os inocentes, desde Abel, o justo, até Zacarias , filho de Baraquias, que vocês assassinaram entre o templo e o altar. ; para que sobre vós recaia todo o sangue justo derramado sobre a terra, desde o sangue do justo Abel até ao sangue de Zacarias, filho de Baraquias, a quem matastes entre o santuário e o altar.; E, dessa maneira, sobre vós recairá todo o sangue justo derramado na terra, desde o sangue do justo Abel, até o sangue de Zacarias, filho de Baraquias, a quem matastes entre o santuário e o altar.; ὅπως ἔλθῃ ἐφ᾽ ὑμᾶς πᾶν αἷμα δίκαιον ἐκχυννόμενον ἐπὶ τῆς γῆς ἀπὸ τοῦ αἵματος Ἅβελ τοῦ δικαίου ἕως τοῦ αἵματος Ζαχαρίου υἱοῦ Βαραχίου, ὃν ἐφονεύσατε μεταξὺ τοῦ ναοῦ καὶ τοῦ θυσιαστηρίου.; ὅπως ἔλθῃ ἐφ᾽ ὑμᾶς πᾶν αἷμα δίκαιον ἐκχυννόμενον ἐπὶ τῆς γῆς ἀπὸ τοῦ αἵματος Ἅβελ τοῦ δικαίου ἕως τοῦ αἵματος Ζαχαρίου υἱοῦ Βαραχίου, ὃν ἐφονεύσατε μεταξὺ τοῦ ναοῦ καὶ τοῦ θυσιαστηρίου.;איכנא דנאתא עליכון כלה דמא דזדיקא דאתאשׁד על ארעא מן דמה דהביל זדיקא ועדמא לדמה דזכריא בר ברכיא הו דקטלתון ביני היכלא למדבחא;אַיכַּנָא דּנִאתֵ̅א עלַיכֻּון כֻּלֵה דּמָא דּזַדִּיקֵא֞ דֵּאתֵ̅אשֵׁד̅ עַל אַרעָא֑ מֵן דּמֵה דּ֣הָבֵ̅יל זַדִּיקָא֑ וַעדַ̅מָא לַד̅מֵה דַּ֣זכַ̅ריָא בַּר בּ֣רַכ̅יָא֖ הַו דַּקטַלתֻּון בַּינַי הַיכּלָא למַד̅בּחָא֖ ;  0xbdml  fkyh  Ynyb  Jwtl=qd  wh  0ykrb  rb  0yrkzd  hmdl    0md9w  0qydz  Lybhd  hmd  Nm  09r0  L9  d40t0d  0qydzd  0md  hlk  Jwkyl9  F0nd  0nky0  
812;Mat 23:36;Em verdade vos digo que todas estas coisas hão de vir sobre esta geração,;Em verdade vos digo que todas essas coisas hão de vir sobre esta geração.;Em verdade vos digo: tudo isso sobrevirá a esta geração! ; Em verdade vos digo que todas estas coisas hão de vir sobre esta geração.; Em verdade vos digo que todas essas coisas hão de vir sobre esta geração.; Em verdade vos digo que todas estas coisas häo de vir sobre esta geraçäo.;" Fiquem sabendo que é sobre esta geraçäo que vai cair o castigo por tudo isto!""";"Fiquem sabendo que é sobre esta geração que vai cair o castigo por tudo isto!"""; Em verdade vos digo que todas estas coisas hão de vir sobre a presente geração.; Com toda a certeza vos asseguro, que tudo isso ocorrerá a esta geração”. O lamento sobre Jerusalém; ἀμὴν λέγω ὑμῖν, ἥξει ταῦτα πάντα ἐπὶ τὴν γενεὰν ταύτην.; ἀμὴν λέγω ὑμῖν, ἥξει ταῦτα πάντα ἐπὶ τὴν γενεὰν ταύτην.;אמין אמר אנא לכון דנאתין הלין כלהין על שׁרבתא הדא;אַמִין אָמַר א֗נָא לכֻ̅ון֑ דּנִאת̅יָן֞ הָלֵין כֻּלהֵין עַל שַׁרבּתָ̅א הָדֵ̅א ס ;  0dh  Fbr4  L9  Nyhlk  Nylh  Nyt0nd  Jwkl  0n0  rm0  Nym0  
813;Mat 23:37;E sobre Yerushalayim, que matas os profetas, e apedrejas os que te são enviados!;Yerushalayim, Yerushalayim, que matas os profetas, apedrejas os que a ti são enviados! quantas vezes quis eu ajuntar os teus filhos, como a galinha ajunta os seus pintos debaixo das asas, e não o quiseste!;Jerusalém, Jerusalém, que matas os profetas e apedrejas os que te são enviados, quantas vezes quis eu ajuntar os teus filhos, como a galinha recolhe os seus pintinhos debaixo das suas asas, e não o quiseste! ; Jerusalém, Jerusalém, que matas os profetas, e apedrejas os que te são enviados! quantas vezes quis eu ajuntar os teus filhos, como a galinha ajunta os seus pintos debaixo das asas, e tu não quiseste!; Jerusalém, Jerusalém, que matas os profetas e apedrejas os que te são enviados! Quantas vezes quis eu ajuntar os teus filhos, como a galinha ajunta os seus pintos debaixo das asas, e tu não quiseste!; Jerusalém, Jerusalém, que matas os profetas, e apedrejas os que te säo enviados! quantas vezes quis eu ajuntar os teus filhos, como a galinha ajunta os seus pintos debaixo das asas, e tu näo quiseste!;" Jesus continuou: ""Oh, Jerusalém, Jerusalém! Matas os profetas e apedrejas os mensageiros que Deus te envia! Quantas vezes eu quis juntar os teus habitantes como a galinha junta os pintainhos debaixo das asas! Mas tu näo quiseste.";"Jesus continuou: ""Oh, Jerusalém, Jerusalém! Matas os profetas e apedrejas os mensageiros que Deus te envia! Quantas vezes eu quis juntar os teus habitantes como a galinha junta os pintainhos debaixo das asas! Mas tu não quiseste."; Jerusalém, Jerusalém, que matas os profetas e apedrejas os que te foram enviados! Quantas vezes quis eu reunir os teus filhos, como a galinha ajunta os seus pintinhos debaixo das asas, e vós não o quisestes!; “Ó Jerusalém, Jerusalém, que assassinas os profetas e apedrejas os que te são enviados! Quantas vezes Eu quis reunir os teus filhos, como a galinha acolhe os seus pintinhos debaixo das suas asas, mas vós não o aceitastes!; Ἱερουσαλὴμ Ἱερουσαλήμ, ἡ ἀποκτείνουσα τοὺς προφήτας καὶ λιθοβολοῦσα τοὺς ἀπεσταλμένους πρὸς αὐτήν, ποσάκις ἠθέλησα ἐπισυναγαγεῖν τὰ τέκνα σου, ὃν τρόπον ὄρνις ἐπισυνάγει τὰ νοσσία αὐτῆς ὑπὸ τὰς πτέρυγας, καὶ οὐκ ἠθελήσατε.; Ἰερουσαλὴμ Ἰερουσαλήμ, ἡ ἀποκτείνουσα τοὺς προφήτας καὶ λιθοβολοῦσα τοὺς ἀπεσταλμένους πρὸς αὐτήν, ποσάκις ἠθέλησα ἐπισυναγαγεῖν τὰ τέκνα σου, ὃν τρόπον ὄρνις ἐπισυνάγει τὰ νοσσία αὐτῆς ὑπὸ τὰς πτέρυγας, καὶ οὐκ ἠθελήσατε.;אורשׁלם אורשׁלם קטלת נביא ורגמת לאילין דשׁליחין לותה כמא זבנין צבית דאכנשׁ בניכי איך דכנשׁא תרנגולתא פרוגיה תחית גפיה ולא צביתון;אֻ֣ורִשׁלֵם אֻ֣ורִשׁלֵם֑ קָטלַת̅ נבִ̅יֵא֖֞ ורָג̅מַת̅ לַאילֵין דַּשׁלִיחִין לוָתָ̅ה֖ כּמָא זַב̅נִין֞ צבִ̅ית̅ דֵּאכַּנֵשׁ בּנַיכּי֑֞ אַיך̅ דּכָ̅נשָׁא תַּרנָגֻ̅ולתָּא פַּרֻוגֵ̅יה֞ תּחֵית̅ גֵּפֵ̅יה֖֞ ולָא צבַ̅יתֻּון֖ ;  Jwtybc  fw  hypg  tyxt  hygwrp  Flwgnrt  04nkd  Ky0  Ykynb    $nk0d  tybc  Nynbz  0mk  htwl  Nyxyl4d  Nyly0l  tmgrw  0ybn  tl=q  Ml4rw0  Ml4rw0  
814;Mat 23:38;Por isso vocês deixarão suas casas desoladas.;Eis aí abandonada vos é a vossa casa.;Eis que a vossa casa vos ficará abandonada ;" Eis que a vossa casa vai ficar-vos deserta;"; Eis que a vossa casa vos ficará deserta.;" Eis que a vossa casa vai ficar-vos deserta;"; Agora, a tua casa vai ficar abandonada!;Agora, a tua casa vai ficar abandonada!; Eis que a vossa casa vos ficará deserta.; Eis que a vossa casa ficará abandonada!; ἰδοὺ ἀφίεται ὑμῖν ὁ οἶκος ὑμῶν ἔρημος.; ἰδοὺ ἀφίεται ὑμῖν ὁ οἶκος ὑμῶν ἔρημος.;הא משׁתבק לכון ביתכון חרבא;הָא מֵשׁתּבֵ̅ק לכֻ̅ון בַּיתּכֻ̅ון חַרבָּא֖ ;  0brx  Jwktyb  Jwkl  Qbt4m  0h  
